City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,Balikpapan,-1.2675,116.8289,85.19,62,75,6.91,ID,1675825675
151,Jizan,17.3333,42.6667,75.61,76,2,4.16,SA,1675825736
152,Alvdal,62.1077,10.6307,23.27,100,92,6.62,NO,1675825738
153,Zabaykal'sk,49.6333,117.3167,2.08,91,53,5.12,RU,1675825740
154,Faanui,-16.4833,-151.75,81.07,72,24,12.24,PF,1675825683
155,Kununurra,-15.7667,128.7333,96.78,46,5,8.05,AU,1675825743
156,Saskylakh,71.9167,114.0833,-29.52,100,100,0.11,RU,1675825679
157,Āgaro,7.85,36.65,58.48,54,5,2.26,ET,1675825746
158,Bara,10.3744,10.7288,67.46,25,13,7.52,NG,1675825747
159,Coyhaique,-45.5752,-72.0662,61.41,72,75,3.44,CL,1675825749
160,George Town,5.4112,100.3354,84.13,65,20,11.5,MY,1675825712
161,Huarmey,-10.0681,-78.1522,72.43,82,7,5.59,PE,1675825492
162,Burgeo,47.6167,-57.6152,17.35,81,100,17.85,CA,1675825552
163,Kumluca,36.3703,30.2869,38.3,46,4,10.6,TR,1675825605
164,Havelock,34.8791,-76.9013,53.94,76,0,3.44,US,1675825755
165,Chulym,55.0997,80.9572,-9.17,100,96,5.53,RU,1675825758
166,Port Lincoln,-34.7333,135.8667,74.95,57,23,8.72,AU,1675825761
167,Tuy Hoa,13.0833,109.3,79.34,77,37,5.23,VN,1675825763
168,Tevriz,57.509,72.4042,-19.26,100,42,2.66,RU,1675825764
169,São Filipe,14.8961,-24.4956,68.23,69,20,9.82,CV,1675825765
170,Verāval,20.9,70.3667,71.56,54,7,7.94,IN,1675825648
171,Tiarei,-17.5333,-149.3333,86.02,63,2,4.92,PF,1675825768
172,Lagoa,39.05,-27.9833,55.69,58,98,14.0,PT,1675825769
173,Kemisē,10.7167,39.8667,60.37,28,2,2.64,ET,1675825771
174,Jahāzpur,25.6167,75.2833,62.6,36,0,0.49,IN,1675825597
175,Iqaluit,63.7506,-68.5145,-29.47,68,40,4.61,CA,1675825775
176,La Baule-Escoublac,47.2922,-2.364,33.46,87,0,8.05,FR,1675825777
177,Carnarvon,-24.8667,113.6333,85.69,50,1,15.14,AU,1675825610
178,Marzuq,14.4,46.4667,61.43,53,6,5.14,YE,1675825779
179,Jiwani,25.05,61.7417,71.76,67,2,5.73,PK,1675825781
